_soc2,pre,post,label
13,7.639354838709677,26.381290322580647,Business & Financial (SOC-13)
15,6.3155,30.881999999999998,Computer & Mathematical (SOC-15)
17,3.479714285714286,15.615714285714285,Architecture & Engineering (SOC-17)
